feature,source,groups_tested,min_group_size,max_group_size,f_statistic,p_value,significant,alpha_threshold,significant_alpha,bonferroni_threshold,p_value_bonferroni,significant_bonferroni,p_value_fdr,significant_fdr
pitch_range_semitones,melodic,4,36,36,42.17969286685365,1.7562930768822094e-19,True,0.05,True,0.001388888888888889,6.322655076775954e-18,True,6.3226550767759545e-18,True
dissonance_ratio,harmonic,4,36,36,30.654789597066475,2.6944839190141243e-15,True,0.05,True,0.001388888888888889,9.700142108450848e-14,True,4.850071054225424e-14,True
pitch_class_entropy,melodic,4,36,36,21.78832856333057,1.222512139031274e-11,True,0.05,True,0.001388888888888889,4.401043700512586e-10,True,1.4670145668375288e-10,True
std_note_duration,rhythmic,4,36,36,19.345034623262627,1.4962486330266548e-10,True,0.05,True,0.001388888888888889,5.3864950788959574e-09,True,1.3466237697239894e-09,True
rhythmic_pattern_entropy,rhythmic,4,36,36,18.19052808509472,5.03862617256214e-10,True,0.05,True,0.001388888888888889,1.8139054221223706e-08,True,3.6278108442447407e-09,True
harmonic_density_mean,harmonic,4,36,36,17.672748904140658,8.743266269554746e-10,True,0.05,True,0.001388888888888889,3.147575857039709e-08,True,5.245959761732848e-09,True
avg_melodic_interval,melodic,4,36,36,12.359219572968037,3.209334754132798e-07,True,0.05,True,0.001388888888888889,1.1553605114878074e-05,True,1.6505150164111534e-06,True
chord_quality_augmented_pct,harmonic,4,36,36,9.729558073477317,7.123740238271023e-06,True,0.05,True,0.001388888888888889,0.00025645464857775686,True,3.205683107221961e-05,True
melodic_leap_ratio,melodic,4,36,36,8.750954765873898,2.3287848308657314e-05,True,0.05,True,0.001388888888888889,0.0008383625391116633,True,8.744523956775828e-05,True
melodic_interval_std,melodic,4,36,36,8.716385074431795,2.42903443243773e-05,True,0.05,True,0.001388888888888889,0.0008744523956775828,True,8.744523956775828e-05,True
downbeat_emphasis_ratio,rhythmic,4,36,36,7.786992105652902,7.600932600987389e-05,True,0.05,True,0.001388888888888889,0.00273633573635546,True,0.00023188659305533227,True
other_dissonance_ratio,harmonic,4,35,36,7.777621770866002,7.729553101844409e-05,True,0.05,True,0.001388888888888889,0.002782639116663987,True,0.00023188659305533227,True
