feature,source,group_1,group_2,meandiff,p_adj,ci_lower,ci_upper,reject
pitch_range_semitones,melodic,Bach,Chopin,-15.354838709677416,5.369960076606617e-08,-21.82527302606608,-8.884404393288753,True
pitch_range_semitones,melodic,Bach,Debussy,-18.03225806451612,2.5078572551961997e-10,-24.502692380904783,-11.561823748127457,True
pitch_range_semitones,melodic,Bach,Mozart,4.258064516129032,0.3206739784335091,-2.2123698002596317,10.728498832517696,False
pitch_range_semitones,melodic,Chopin,Debussy,-2.6774193548387046,0.703533407516032,-9.147853671227368,3.793014961549959,False
pitch_range_semitones,melodic,Chopin,Mozart,19.61290322580645,9.128697797677887e-12,13.142468909417785,26.08333754219511,True
pitch_range_semitones,melodic,Debussy,Mozart,22.290322580645153,4.3853809472693683e-14,15.81988826425649,28.760756897033815,True
dissonance_ratio,harmonic,Bach,Chopin,-0.1376096461040156,0.0007096361523116768,-0.22798316628885493,-0.04723612591917628,True
dissonance_ratio,harmonic,Bach,Debussy,-0.1932462296805868,9.395794077216024e-07,-0.28361974986542615,-0.10287270949574748,True
dissonance_ratio,harmonic,Bach,Mozart,0.06276455915637513,0.2739669756712133,-0.02760896102846419,0.15313807934121446,False
dissonance_ratio,harmonic,Chopin,Debussy,-0.0556365835765712,0.38030121573587816,-0.14601010376141052,0.034736936608268126,False
dissonance_ratio,harmonic,Chopin,Mozart,0.20037420526039074,3.6545419102029797e-07,0.11000068507555141,0.2907477254452301,True
dissonance_ratio,harmonic,Debussy,Mozart,0.25601078883696193,1.3541623378188206e-10,0.1656372686521226,0.3463843090218013,True
pitch_class_entropy,melodic,Bach,Chopin,-0.07322008026441296,0.3858527252489242,-0.1928896440618073,0.04644948353298138,False
pitch_class_entropy,melodic,Bach,Debussy,-0.09523867587488333,0.16773482550061747,-0.21490823967227768,0.02443088792251101,False
pitch_class_entropy,melodic,Bach,Mozart,0.19683833219487568,0.00021470429645120692,0.07716876839748134,0.31650789599227,True
pitch_class_entropy,melodic,Chopin,Debussy,-0.02201859561047037,0.9635179825055483,-0.14168815940786472,0.09765096818692397,False
pitch_class_entropy,melodic,Chopin,Mozart,0.27005841245928863,2.2615183659091542e-07,0.15038884866189428,0.389727976256683,True
pitch_class_entropy,melodic,Debussy,Mozart,0.292077008069759,2.2922228115618282e-08,0.17240744427236465,0.41174657186715335,True
std_note_duration,rhythmic,Bach,Chopin,-0.07253975057178635,0.45746837994786915,-0.20091834827081,0.0558388471272373,False
std_note_duration,rhythmic,Bach,Debussy,-0.296972841494288,1.1294778512471737e-07,-0.42535143919331164,-0.16859424379526433,True
std_note_duration,rhythmic,Bach,Mozart,-0.01715665367399316,0.9854347184733147,-0.14553525137301682,0.1112219440250305,False
std_note_duration,rhythmic,Chopin,Debussy,-0.22443309092250163,7.424955590851212e-05,-0.3528116886215253,-0.09605449322347798,True
std_note_duration,rhythmic,Chopin,Mozart,0.055383096897793194,0.6754993425561605,-0.07299550080123046,0.18376169459681685,False
std_note_duration,rhythmic,Debussy,Mozart,0.2798161878202948,5.742831895583222e-07,0.15143759012127117,0.4081947855193185,True
rhythmic_pattern_entropy,rhythmic,Bach,Chopin,-0.011077634482798526,0.9999739671545174,-0.7045869490845863,0.6824316801189892,False
rhythmic_pattern_entropy,rhythmic,Bach,Debussy,-1.469016183132453,1.19124031749962e-06,-2.162525497734241,-0.7755068685306653,True
rhythmic_pattern_entropy,rhythmic,Bach,Mozart,-0.20032354028410015,0.8754002351189122,-0.8938328548858879,0.4931857743176876,False
rhythmic_pattern_entropy,rhythmic,Chopin,Debussy,-1.4579385486496546,1.4376117819514533e-06,-2.1514478632514424,-0.7644292340478668,True
rhythmic_pattern_entropy,rhythmic,Chopin,Mozart,-0.18924590580130163,0.892580891002584,-0.8827552204030894,0.5042634088004861,False
rhythmic_pattern_entropy,rhythmic,Debussy,Mozart,1.268692642848353,3.1292945747551926e-05,0.5751833282465652,1.9622019574501408,True
harmonic_density_mean,harmonic,Bach,Chopin,-0.2064693425654358,0.3674195243195658,-0.537086941958737,0.1241482568278654,False
harmonic_density_mean,harmonic,Bach,Debussy,-0.5302854285101879,0.00032283511303299317,-0.860903027903489,-0.19966782911688669,True
harmonic_density_mean,harmonic,Bach,Mozart,0.20609818510648292,0.3690386113959415,-0.12451941428681829,0.5367157844997841,False
harmonic_density_mean,harmonic,Chopin,Debussy,-0.3238160859447521,0.057211440979426986,-0.6544336853380532,0.0068015134485491235,False
harmonic_density_mean,harmonic,Chopin,Mozart,0.41256752767191873,0.008027061456085005,0.08194992827861752,0.7431851270652199,True
harmonic_density_mean,harmonic,Debussy,Mozart,0.7363836136166708,3.233337113606183e-07,0.4057660142233696,1.067001213009972,True
chord_quality_augmented_pct,harmonic,Bach,Chopin,-0.6121194164606284,0.6176774274246405,-1.9231812197232516,0.6989423868019947,False
chord_quality_augmented_pct,harmonic,Bach,Debussy,-2.295017729546155,7.248691277206287e-05,-3.6060795328087782,-0.983955926283532,True
chord_quality_augmented_pct,harmonic,Bach,Mozart,0.1013826275794627,0.9970900592351676,-1.2096791756831604,1.4124444308420858,False
chord_quality_augmented_pct,harmonic,Chopin,Debussy,-1.6828983130855268,0.0059867469059751155,-2.99396011634815,-0.3718365098229037,True
chord_quality_augmented_pct,harmonic,Chopin,Mozart,0.7135020440400911,0.4907212182297216,-0.597559759222532,2.0245638473027143,False
chord_quality_augmented_pct,harmonic,Debussy,Mozart,2.396400357125618,3.1820846281949144e-05,1.0853385538629947,3.707462160388241,True
avg_melodic_interval,melodic,Bach,Chopin,-0.20163370820323578,0.9289046563958555,-1.0636233080055582,0.6603558915990866,False
avg_melodic_interval,melodic,Bach,Debussy,-0.39582936949163994,0.6303044747863654,-1.2578189692939623,0.46616023031068243,False
avg_melodic_interval,melodic,Bach,Mozart,1.1441863498344316,0.004141466949132866,0.2821967500321092,2.006175949636754,True
avg_melodic_interval,melodic,Chopin,Debussy,-0.19419566128840415,0.9358470962296446,-1.0561852610907265,0.6677939385139182,False
avg_melodic_interval,melodic,Chopin,Mozart,1.3458200580376674,0.0004898627658642685,0.483830458235345,2.2078096578399897,True
avg_melodic_interval,melodic,Debussy,Mozart,1.5400157193260715,4.9510681370823484e-05,0.6780261195237491,2.402005319128394,True
melodic_interval_std,melodic,Bach,Chopin,-0.17619146481513281,0.8715081685974105,-0.7789333575108269,0.4265504278805613,False
melodic_interval_std,melodic,Bach,Debussy,-0.7214354230648192,0.012042988993834491,-1.3241773157605135,-0.11869353036912511,True
melodic_interval_std,melodic,Bach,Mozart,0.3410965367840988,0.45610688260713517,-0.2616453559115953,0.9438384294797929,False
melodic_interval_std,melodic,Chopin,Debussy,-0.5452439582496864,0.0912085498537577,-1.1479858509453806,0.057497934446007704,False
melodic_interval_std,melodic,Chopin,Mozart,0.5172880015992316,0.1194791969428941,-0.08545389109646251,1.1200298942949258,False
melodic_interval_std,melodic,Debussy,Mozart,1.062531959848918,6.367117195804628e-05,0.4597900671532239,1.6652738525446122,True
downbeat_emphasis_ratio,rhythmic,Bach,Chopin,-0.046708965148072434,0.17475722382097614,-0.10598891234637989,0.012570982050235019,False
downbeat_emphasis_ratio,rhythmic,Bach,Debussy,-0.06317979877639596,0.031910923326613605,-0.12245974597470341,-0.0038998515780885035,True
downbeat_emphasis_ratio,rhythmic,Bach,Mozart,-0.09912887912879431,0.00016279168008459521,-0.15840882632710176,-0.03984893193048686,True
downbeat_emphasis_ratio,rhythmic,Chopin,Debussy,-0.016470833628323522,0.8873774651408026,-0.07575078082663098,0.04280911356998393,False
downbeat_emphasis_ratio,rhythmic,Chopin,Mozart,-0.05241991398072188,0.10285488885143312,-0.11169986117902933,0.006860033217585576,False
downbeat_emphasis_ratio,rhythmic,Debussy,Mozart,-0.035949080352398355,0.3938883426486345,-0.09522902755070581,0.0233308668459091,False
other_dissonance_ratio,harmonic,Bach,Chopin,0.0524620493260497,0.09084149500770455,-0.005489137650065666,0.11041323630216507,False
other_dissonance_ratio,harmonic,Bach,Debussy,0.018499429438378567,0.8393007374937692,-0.0394517575377368,0.07645061641449394,False
other_dissonance_ratio,harmonic,Bach,Mozart,0.08639860121630527,0.0009578030914516589,0.028447414240189907,0.14434978819242064,True
other_dissonance_ratio,harmonic,Chopin,Debussy,-0.03396261988767113,0.4247200802145584,-0.0919138068637865,0.023988567088444233,False
other_dissonance_ratio,harmonic,Chopin,Mozart,0.03393655189025557,0.4254116412679747,-0.02401463508585979,0.09188773886637094,False
other_dissonance_ratio,harmonic,Debussy,Mozart,0.0678991717779267,0.014645435342028001,0.00994798480181134,0.12585035875404207,True
dissonant_note_count,harmonic,Bach,Chopin,838.0645161290322,0.028336943017127636,63.90737893850337,1612.221653319561,True
dissonant_note_count,harmonic,Bach,Debussy,990.8387096774193,0.006174361632081959,216.68157248689045,1764.995846867948,True
dissonant_note_count,harmonic,Bach,Mozart,1040.5806451612902,0.0035864363583164582,266.4235079707614,1814.737782351819,True
dissonant_note_count,harmonic,Chopin,Debussy,152.7741935483871,0.9555692116643363,-621.3829436421418,926.9313307389159,False
dissonant_note_count,harmonic,Chopin,Mozart,202.51612903225808,0.9039296649920853,-571.6410081582708,976.6732662227869,False
dissonant_note_count,harmonic,Debussy,Mozart,49.741935483870975,0.9983226064566942,-724.4152017066579,823.8990726743998,False
oblique_motion_ratio,melodic,Bach,Chopin,-0.2587914960539309,0.0019153145550158124,-0.44161465519987075,-0.07596833690799112,True
oblique_motion_ratio,melodic,Bach,Debussy,-0.21324974160817178,0.015250470313367459,-0.3960729007541116,-0.030426582462231982,True
oblique_motion_ratio,melodic,Bach,Mozart,-0.1910259582317939,0.03692189678143487,-0.37384911737773374,-0.008202799085854112,True
oblique_motion_ratio,melodic,Chopin,Debussy,0.04554175444575914,0.9137886252173064,-0.1357766617522625,0.22686017064378078,False
oblique_motion_ratio,melodic,Chopin,Mozart,0.06776553782213701,0.7645734252977933,-0.11355287837588462,0.24908395402015865,False
oblique_motion_ratio,melodic,Debussy,Mozart,0.02222378337637787,0.9886765343432525,-0.15909463282164377,0.2035421995743995,False
melodic_leap_ratio,melodic,Bach,Chopin,0.008190555209619976,0.9982217763061438,-0.11680861331825812,0.13318972373749807,False
melodic_leap_ratio,melodic,Bach,Debussy,-0.052159306864054567,0.6980335379392204,-0.17715847539193266,0.07283986166382353,False
melodic_leap_ratio,melodic,Bach,Mozart,0.1262559594908878,0.04676692749293754,0.0012567909630097074,0.2512551280187659,True
melodic_leap_ratio,melodic,Chopin,Debussy,-0.06034986207367454,0.5914305017830305,-0.18534903060155264,0.06464930645420355,False
melodic_leap_ratio,melodic,Chopin,Mozart,0.11806540428126783,0.07144665180578746,-0.006933764246610269,0.24306457280914592,False
melodic_leap_ratio,melodic,Debussy,Mozart,0.17841526635494237,0.0017192377675865345,0.053416097827064274,0.3034144348828205,True
modal_interchange_ratio,harmonic,Bach,Chopin,0.02269258009982021,0.44759241098971314,-0.017026793119363753,0.062411953319004176,False
modal_interchange_ratio,harmonic,Bach,Debussy,0.0002752282688781166,0.9999978736042904,-0.03944414495030585,0.03999460148806208,False
modal_interchange_ratio,harmonic,Bach,Mozart,0.050362722850312666,0.006812915731564284,0.010643349631128701,0.09008209606949663,True
modal_interchange_ratio,harmonic,Chopin,Debussy,-0.022417351830942095,0.4584985377899211,-0.06213672505012606,0.01730202138824187,False
